Step,Total Animals,Total Plants,Total Waters,Free Fields,Most Common Genotype,Average Energy,Average LifeSpan,Average Children
0,102,539,0,4364,"1 3 0 4 7",48.42156862745098,0.0,0.0392156862745098
1,106,582,0,4321,"5 2 7 0 5",45.867924528301884,0.0,0.11320754716981132
2,108,617,0,4280,"5 2 7 0 5",44.47222222222222,0.0,0.14814814814814814
3,110,653,0,4244,"5 2 7 0 5",43.06363636363636,0.0,0.18181818181818182
4,114,693,0,4203,"5 2 7 0 5",40.85087719298246,0.0,0.24561403508771928
5,116,732,0,4156,"5 2 7 0 5",39.48275862068966,0.0,0.27586206896551724
6,120,768,0,4123,"5 2 7 0 5",37.516666666666666,0.0,0.3333333333333333
7,123,805,0,4084,"5 2 7 0 5",35.89430894308943,0.0,0.37398373983739835
8,125,840,0,4049,"5 2 7 0 5",34.656,0.0,0.4
9,127,874,0,4008,"5 2 7 0 5",33.52755905511811,0.0,0.4251968503937008
10,129,902,0,3978,"5 2 7 0 5",32.49612403100775,0.0,0.4496124031007752
11,129,936,0,3943,"5 2 7 0 5",31.906976744186046,11.0,0.4496124031007752
12,130,966,0,3911,"3 2 2 4 6",31.23846153846154,11.0,0.46153846153846156
