Step,Total Animals,Total Plants,Total Waters,Free Fields,Most Common Genotype,Average Energy,Average LifeSpan,Average Children
0,9,13,8,71,"4 0 5 7 7 0 4 3",19.0,0.0,0.0
1,8,14,8,70,"4 0 5 7 7 0 4 3",18.5,0.0,0.0
2,10,14,8,72,"7 0 4 1 6 0 3 2",14.5,0.0,0.4
3,10,15,16,63,"4 0 5 7 7 0 4 3",12.2,0.0,0.6
4,10,15,16,59,"4 0 5 7 7 0 4 3",12.0,0.0,0.6
5,9,18,16,59,"7 0 4 1 6 0 3 2",10.666666666666666,0.0,0.6666666666666666
6,8,19,16,59,"7 0 4 1 6 0 3 2",10.125,0.0,0.75
7,8,19,8,67,"7 0 4 1 6 0 3 2",10.0,0.0,0.75
8,7,20,8,67,"1 2 5 1 5 4 5 6",11.0,6.0,0.5714285714285714
9,7,22,8,65,"1 2 5 1 5 4 5 6",10.428571428571429,6.0,0.5714285714285714
10,8,22,8,67,"5 3 4 4 0 1 6 2",9.125,6.0,0.75
11,7,22,16,60,"5 3 4 4 0 1 6 2",10.428571428571429,7.2,0.5714285714285714
12,6,24,16,59,"5 3 4 4 0 1 6 2",8.0,7.714285714285714,0.6666666666666666
13,5,26,16,57,"5 3 4 4 0 1 6 2",8.8,8.0,0.8
14,5,28,16,56,"5 3 4 4 0 1 6 2",8.2,8.181818181818182,0.8
15,5,30,8,62,"5 3 4 4 0 1 6 2",7.4,8.307692307692308,0.8
16,4,33,8,57,"5 3 4 4 0 1 6 2",8.5,8.9375,0.5
17,4,34,8,57,"5 3 4 4 0 1 6 2",8.75,9.368421052631579,0.5
18,4,35,8,56,"5 3 4 4 0 1 6 2",8.75,9.681818181818182,0.5
19,4,37,16,48,"5 3 4 4 0 1 6 2",8.25,9.92,0.5
20,3,39,16,47,"1 3 4 4 0 3 6 2",9.666666666666666,10.107142857142858,0.6666666666666666
21,2,40,16,48,"1 3 4 4 0 3 6 2",13.5,10.258064516129032,0.0
22,2,42,16,46,"1 3 4 4 0 3 6 2",13.5,10.382352941176471,0.0
23,2,44,8,50,"1 3 4 4 0 3 6 2",14.0,10.486486486486486,0.0
24,2,46,8,48,"1 3 4 4 0 3 6 2",14.0,10.575,0.0
25,2,49,8,46,"1 3 4 4 0 3 6 2",13.0,10.651162790697674,0.0
26,1,52,8,44,"5 5 2 1 4 0 5 4",25.0,10.829787234042554,0.0
27,1,54,16,38,"5 5 2 1 4 0 5 4",27.0,10.980392156862745,0.0
28,1,57,16,35,"5 5 2 1 4 0 5 4",26.0,11.10909090909091,0.0
29,1,59,16,34,"5 5 2 1 4 0 5 4",28.0,11.220338983050848,0.0
30,1,61,16,31,"5 5 2 1 4 0 5 4",30.0,11.317460317460318,0.0
31,1,63,8,33,"5 5 2 1 4 0 5 4",31.0,11.402985074626866,0.0
