Step,Total Animals,Total Plants,Total Waters,Free Fields,Most Common Genotype,Average Energy,Average LifeSpan,Average Children
0,10,13,8,70,"1 2 3 4 0 5 4 5",19.1,0.0,0.0
1,12,15,8,71,"1 2 3 4 0 5 4 5",15.333333333333334,0.0,0.3333333333333333
2,12,16,8,67,"1 2 3 4 0 5 4 5",14.833333333333334,0.0,0.3333333333333333
3,11,18,16,60,"6 7 1 6 3 2 5 0",13.727272727272727,0.0,0.36363636363636365
4,12,19,16,59,"6 7 1 6 3 2 5 0",12.166666666666666,0.0,0.5
5,12,19,16,58,"6 7 1 6 3 2 5 0",11.75,0.0,0.5
6,12,19,16,59,"6 7 1 6 3 2 5 0",11.333333333333334,0.0,0.5
7,12,20,8,62,"6 7 1 6 3 2 5 0",10.5,0.0,0.5
8,12,21,8,60,"6 7 1 6 3 2 5 0",10.166666666666666,0.0,0.5
9,12,23,8,60,"6 7 1 6 3 2 5 0",9.416666666666666,0.0,0.5
10,13,23,8,62,"6 7 1 6 3 2 5 0",8.23076923076923,0.0,0.6153846153846154
11,13,23,16,54,"6 7 1 6 3 2 5 0",7.538461538461538,0.0,0.6153846153846154
12,14,24,16,55,"6 7 1 6 3 2 5 0",6.071428571428571,0.0,0.7857142857142857
13,14,24,16,54,"6 7 1 6 3 2 5 0",5.5,0.0,0.7857142857142857
14,14,23,16,55,"6 7 1 6 3 2 5 0",5.214285714285714,0.0,0.7857142857142857
15,12,23,8,63,"6 7 1 6 3 2 5 0",5.666666666666667,15.0,0.5833333333333334
16,11,23,8,60,"6 7 1 6 3 2 5 0",6.090909090909091,14.4,0.6363636363636364
17,10,23,8,62,"6 7 1 6 3 2 5 0",6.3,14.25,0.7
18,9,25,8,61,"6 6 0 3 6 4 7 1",6.111111111111111,14.583333333333334,0.6666666666666666
19,9,26,16,55,"6 6 0 3 6 4 7 1",5.666666666666667,14.75,0.6666666666666666
20,8,28,16,53,"6 6 0 3 6 4 7 1",5.625,15.142857142857142,0.625
21,8,29,16,53,"6 6 0 3 6 4 7 1",5.0,15.384615384615385,0.625
22,8,29,16,53,"6 6 0 3 6 4 7 1",5.0,15.548387096774194,0.625
23,8,28,8,58,"6 6 0 3 6 4 7 1",5.0,15.666666666666666,0.625
24,7,29,8,58,"2 3 0 6 4 1 1 5",5.428571428571429,15.976190476190476,0.7142857142857143
25,7,29,8,59,"2 3 0 6 4 1 1 5",5.285714285714286,16.208333333333332,0.7142857142857143
26,7,30,8,58,"2 3 0 6 4 1 1 5",5.0,16.38888888888889,0.7142857142857143
27,5,31,16,52,"1 6 2 4 4 1 1 5",5.6,16.540983606557376,0.6
28,4,34,16,48,"1 6 2 4 4 1 1 5",6.0,16.840579710144926,0.75
29,2,35,16,50,"6 7 1 7 3 2 5 3",12.5,17.076923076923077,1.0
30,2,38,16,46,"6 7 1 7 3 2 5 3",11.5,17.264367816091955,1.0
31,2,40,8,52,"6 7 1 7 3 2 5 3",11.5,17.416666666666668,1.0
32,2,43,8,49,"6 7 1 7 3 2 5 3",10.5,17.542857142857144,1.0
33,2,46,8,46,"6 7 1 7 3 2 5 3",9.5,17.649122807017545,1.0
34,2,48,8,45,"6 7 1 7 3 2 5 3",9.5,17.739837398373982,1.0
35,2,50,16,38,"6 7 1 7 3 2 5 3",9.5,17.818181818181817,1.0
36,2,52,16,38,"6 7 1 7 3 2 5 3",9.0,17.886524822695037,1.0
37,2,53,16,37,"6 7 1 7 3 2 5 3",10.0,17.946666666666665,1.0
38,2,55,16,35,"6 7 1 7 3 2 5 3",9.5,18.0,1.0
39,1,58,8,36,"5 7 2 4 2 7 2 6",10.0,18.047619047619047,2.0
40,1,60,8,34,"5 7 2 4 2 7 2 6",12.0,18.09039548022599,2.0
41,1,62,8,33,"5 7 2 4 2 7 2 6",13.0,18.129032258064516,2.0
42,1,64,8,31,"5 7 2 4 2 7 2 6",14.0,18.164102564102564,2.0
43,1,66,16,26,"5 7 2 4 2 7 2 6",16.0,18.19607843137255,2.0
44,1,68,16,24,"5 7 2 4 2 7 2 6",17.0,18.225352112676056,2.0
45,1,70,16,23,"5 7 2 4 2 7 2 6",19.0,18.25225225225225,2.0
46,1,73,16,19,"5 7 2 4 2 7 2 6",18.0,18.27705627705628,2.0
47,1,75,8,21,"5 7 2 4 2 7 2 6",18.0,18.3,2.0
