Step,Total Animals,Total Plants,Total Waters,Free Fields,Most Common Genotype,Average Energy,Average LifeSpan,Average Children
0,9,12,8,73,"5 6 0 5 3 5 7 4",19.444444444444443,0.0,0.0
1,10,14,8,72,"5 6 0 5 3 5 7 4",14.9,0.0,0.4
2,10,14,8,70,"5 6 0 5 3 5 7 4",14.4,0.0,0.4
3,7,16,16,62,"5 6 0 5 3 5 7 4",15.0,0.0,0.14285714285714285
4,7,19,16,60,"5 6 0 5 3 5 7 4",14.0,0.0,0.14285714285714285
5,7,22,16,56,"5 6 0 5 3 5 7 4",13.0,0.0,0.14285714285714285
6,7,24,16,56,"5 6 0 5 3 5 7 4",12.142857142857142,0.0,0.14285714285714285
7,6,25,8,63,"5 6 0 5 3 5 7 4",13.666666666666666,0.0,0.0
8,6,26,8,63,"5 6 0 5 3 5 7 4",13.0,0.0,0.0
9,6,27,8,62,"5 6 0 5 3 5 7 4",12.666666666666666,0.0,0.0
10,6,28,8,61,"5 6 0 5 3 5 7 4",12.5,0.0,0.0
11,6,30,16,54,"5 6 0 5 3 5 7 4",10.166666666666666,0.0,0.3333333333333333
12,6,30,16,55,"5 6 0 5 3 5 7 4",10.166666666666666,0.0,0.3333333333333333
13,6,30,16,54,"5 6 0 5 3 5 7 4",10.0,0.0,0.3333333333333333
14,6,32,16,54,"5 6 0 5 3 5 7 4",9.5,0.0,0.3333333333333333
15,5,34,8,58,"5 6 0 5 3 5 7 4",10.8,16.0,0.2
16,5,36,8,56,"5 6 0 5 3 5 7 4",10.0,16.0,0.2
17,4,36,8,58,"4 1 5 4 4 6 0 5",13.0,16.5,0.0
18,3,39,8,54,"4 1 5 4 4 6 0 5",10.333333333333334,16.666666666666668,0.0
19,3,41,16,49,"4 1 5 4 4 6 0 5",9.666666666666666,16.75,0.0
20,3,44,16,45,"4 1 5 4 4 6 0 5",8.666666666666666,16.8,0.0
21,3,45,16,45,"4 1 5 4 4 6 0 5",9.0,16.833333333333332,0.0
22,2,48,16,42,"4 1 5 4 4 6 0 5",8.0,16.857142857142858,0.0
23,2,49,8,46,"4 1 5 4 4 6 0 5",9.0,16.875,0.0
